3 River Wireless,10digitphonenumber@sms.3rivers.net
ACS Wireless,10digitphonenumber@paging.acswireless.com
Alltel,10digitphonenumber@message.alltel.com
AT&amp;T,10digitphonenumber@txt.att.net 
Bell Canada,10digitphonenumber@txt.bellmobility.ca
Bell Canada,10digitphonenumber@bellmobility.ca
Bell Mobility (Canada),10digitphonenumber@txt.bell.ca
Bell Mobility,10digitphonenumber@txt.bellmobility.ca
Blue Sky Frog,10digitphonenumber@blueskyfrog.com
Bluegrass Cellular,10digitphonenumber@sms.bluecell.com
Boost Mobile,10digitphonenumber@myboostmobile.com
BPL Mobile,10digitphonenumber@bplmobile.com
Carolina West Wireless,10digit10digitnumber@cwwsms.com
Cellular One,10digitphonenumber@mobile.celloneusa.com
Cellular South,10digitphonenumber@csouth1.com
Centennial Wireless,10digitphonenumber@cwemail.com
CenturyTel,10digitphonenumber@messaging.centurytel.net
Cingular (Now AT&amp;T),10digitphonenumber@txt.att.net 
Clearnet,10digitphonenumber@msg.clearnet.com
Comcast,10digitphonenumber@comcastpcs.textmsg.com
Corr Wireless Communications,10digitphonenumber@corrwireless.net
Dobson,10digitphonenumber@mobile.dobson.net
Edge Wireless,10digitphonenumber@sms.edgewireless.com
Fido,10digitphonenumber@fido.ca
Golden Telecom,10digitphonenumber@sms.goldentele.com
Helio,10digitphonenumber@messaging.sprintpcs.com
Houston Cellular,10digitphonenumber@text.houstoncellular.net
Idea Cellular,10digitphonenumber@ideacellular.net
Illinois Valley Cellular,10digitphonenumber@ivctext.com
Inland Cellular Telephone,10digitphonenumber@inlandlink.com
MCI,10digitphonenumber@pagemci.com
Metrocall,10digitpagernumber@page.metrocall.com
Metrocall 2-way,10digitpagernumber@my2way.com
Metro PCS,10digitphonenumber@mymetropcs.com
Microcell,10digitphonenumber@fido.ca
Midwest Wireless,10digitphonenumber@clearlydigital.com
Mobilcomm,10digitphonenumber@mobilecomm.net
MTS,10digitphonenumber@text.mtsmobility.com
Nextel,10digitphonenumber@messaging.nextel.com
OnlineBeep,10digitphonenumber@onlinebeep.net
PCS One,10digitphonenumber@pcsone.net
President's Choice,10digitphonenumber@txt.bell.ca
Public Service Cellular,10digitphonenumber@sms.pscel.com
Qwest,10digitphonenumber@qwestmp.com
Rogers AT&amp;T Wireless,10digitphonenumber@pcs.rogers.com
Rogers Canada,10digitphonenumber@pcs.rogers.com
Satellink,10digitpagernumber.pageme@satellink.net
Southwestern Bell,10digitphonenumber@email.swbw.com
Sprint,10digitphonenumber@messaging.sprintpcs.com
Sumcom,10digitphonenumber@tms.suncom.com
Surewest Communicaitons,10digitphonenumber@mobile.surewest.com
T-Mobile,10digitphonenumber@tmomail.net
Telus,10digitphonenumber@msg.telus.com
Tracfone,10digitphonenumber@txt.att.net
Triton,10digitphonenumber@tms.suncom.com
Unicel,10digitphonenumber@utext.com
US Cellular,10digitphonenumber@email.uscc.net 
Solo Mobile,10digitphonenumber@txt.bell.ca
Sprint,10digitphonenumber@messaging.sprintpcs.com
Sumcom,10digitphonenumber@tms.suncom.com
Surewest Communicaitons,10digitphonenumber@mobile.surewest.com
T-Mobile,10digitphonenumber@tmomail.net
Telus,10digitphonenumber@msg.telus.com
Triton,10digitphonenumber@tms.suncom.com
Unicel,10digitphonenumber@utext.com
US Cellular,10digitphonenumber@email.uscc.net 
US West,10digitphonenumber@uswestdatamail.com
Verizon,10digitphonenumber@vtext.com
Virgin Mobile,10digitphonenumber@vmobl.com
Virgin Mobile Canada,10digitphonenumber@vmobile.ca
West Central Wireless,10digitphonenumber@sms.wcc.net
Western Wireless,10digitphonenumber@cellularonewest.com
Chennai RPG Cellular,phonenumber@rpgmail.net
Chennai Skycell / Airtel,phonenumber@airtelchennai.com
Comviq,number@sms.comviq.se
Delhi Aritel,phonenumber@airtelmail.com
Delhi Hutch,phonenumber@delhi.hutch.co.in
DT T-Mobile,phonenumber@t-mobile-sms.de
Dutchtone / Orange-NL,phonenumber@sms.orange.nl
EMT,phonenumber@sms.emt.ee
Escotel,phonenumber@escotelmobile.com
German T-Mobile,number@t-mobile-sms.de
Goa BPLMobil,phonenumber@bplmobile.com
Golden Telecom,phonenumber@sms.goldentele.com
Gujarat Celforce,phonenumber@celforce.com
JSM Tele-Page,pinnumber@jsmtel.com
Kerala Escotel,phonenumber@escotelmobile.com
Kolkata Airtel,phonenumber@airtelkol.com
Kyivstar,number@smsmail.lmt.lv
Lauttamus Communication,pagernumber@e-page.net
LMT,phonenumber@smsmail.lmt.lv
Maharashtra BPL Mobile,phonenumber@bplmobile.com
Maharashtra Idea Cellular,phonenumber@ideacellular.net
Manitoba Telecom Systems,phonenumber@text.mtsmobility.com
Meteor,phonenumber@mymeteor.ie
MiWorld,phonenumber@m1.com.sg
Mobileone,phonenumber@m1.com.sg
Mobilfone,phonenumber@page.mobilfone.com
Mobility Bermuda,phonenumber@ml.bm
Mobistar Belgium,phonenumber@mobistar.be
Mobitel Tanzania,phonenumber@sms.co.tz
Mobtel Srbija,phonenumber@mobtel.co.yu
Movistar,number@correo.movistar.net
Mumbai BPL Mobile,phonenumber@bplmobile.com
Netcom,phonenumber@sms.netcom.no
Ntelos,number@pcs.ntelos.com
O2,name@o2.co.uk
O2,number@o2imail.co.uk
O2 (M-mail),number@mmail.co.uk
One Connect Austria,phonenumber@onemail.at
OnlineBeep,10digitphonenumber@onlinebeep.net
Optus Mobile,phonenumber@optusmobile.com.au
Orange,phonenumber@orange.net
Orange Mumbai,phonenumber@orangemail.co.in
Orange  NL / Dutchtone,phonenumber@sms.orange.nl
Oskar,phonenumber@mujoskar.cz
P&amp;T Luxembourg,phonenumber@sms.luxgsm.lu
Personal Communication,sms@pcom.ru (put the number in the subject line)
Pondicherry BPL Mobile,phonenumber@bplmobile.com
Primtel,phonenumber@sms.primtel.ru
Safaricom,phonenumber@safaricomsms.com
Satelindo GSM,phonenumber@satelindogsm.com
SCS-900,phonenumber@scs-900.ru
SFR France,phonenumber@sfr.fr
Simple Freedom,phonenumber@text.simplefreedom.net
Smart Telecom,phonenumber@mysmart.mymobile.ph
Southern LINC,10digitphonenumber@page.southernlinc.com
Sunrise Mobile,phonenumber@mysunrise.ch
Sunrise Mobile,10digitphonenumber@swmsg.com
Surewest Communications,phonenumber@freesurf.ch
Swisscom,phonenumber@bluewin.ch
T-Mobile Austria,phonenumber@sms.t-mobile.at
T-Mobile Germany,phonenumber@t-d1-sms.de
T-Mobile UK,phonenumber@t-mobile.uk.net
Tamil Nadu BPL Mobile,phonenumber@bplmobile.com
Tele2 Latvia,phonenumber@sms.tele2.lv
Telefonica Movistar,phonenumber@movistar.net
Telenor,phonenumber@mobilpost.no
Teletouch,10digitpagernumber@pageme.teletouch.com
Telia Denmark,phonenumber@gsm1800.telia.dk
TIM,10digitphonenumber@timnet.com
TSR Wireless,pagernumber@alphame.com
UMC,phonenumber@sms.umc.com.ua
Uraltel,phonenumber@sms.uraltel.ru
Uttar Pradesh Escotel,phonenumber@escotelmobile.com
Vessotel,phonenumber@pager.irkutsk.ru
Vodafone Italy,number@sms.vodafone.it
Vodafone Japan,phonenumber@c.vodafone.ne.jp
Vodafone Japan,phonenumber@h.vodafone.ne.jp
Vodafone Japan,phonenumber@t.vodafone.ne.jp
Vodafone UK,phonenumber@vodafone.net
Wyndtell,number@wyndtell.com
